;Serbia;Bulgaria;Macedonia;Romania;Greece;Montenegro;Albania;Bosnia and Herzegovina;Croatia;Slovenia
Serbia;0,000;0,990;1,095;1,016;1,064;1,258;1,129;0,920;0,959;1,030
Bulgaria;0,968;0,000;1,257;1,122;1,104;1,356;1,295;1,078;1,101;1,288
Macedonia;0,905;1,105;0,000;1,050;0,969;1,256;1,137;1,055;0,934;1,259
Romania;0,928;1,151;1,062;0,000;0,861;1,357;1,306;0,985;0,908;1,010
Greece;1,068;1,030;1,137;1,038;0,000;1,255;1,117;1,050;1,120;1,348
Montenegro;0,890;1,051;0,944;1,022;1,183;0,000;1,084;0,920;1,009;1,052
Albania;0,913;1,061;1,086;1,042;1,137;1,155;0,000;1,058;1,135;1,298
Bosnia and Herzegovina;1,022;1,077;1,150;1,200;0,988;1,449;1,130;0,000;1,042;1,137
Croatia;1,055;1,020;1,125;1,025;1,013;1,192;1,087;1,040;0,000;1,268
Slovenia;0,890;1,055;0,980;1,003;0,890;1,105;1,060;1,055;0,918;0,000
