;Serbia;Bulgaria;Macedonia;Romania;Greece;Montenegro;Albania;Bosnia and Herzegovina;Croatia;Slovenia
Serbia;0,00;0,73;0,42;0,62;0,57;0,19;0,26;0,92;0,38;0,13
Bulgaria;0,58;0,00;0,29;0,65;0,43;0,35;0,39;0,77;0,36;0,23
Macedonia;0,83;0,74;0,00;0,82;0,54;0,39;0,48;0,89;0,40;0,38
Romania;0,76;0,62;0,54;0,00;0,59;0,27;0,33;0,79;0,43;0,21
Greece;0,86;0,91;0,64;0,93;0,00;0,51;0,63;0,90;0,62;0,25
Montenegro;0,89;0,87;0,74;0,92;0,63;0,00;0,74;0,92;0,61;0,61
Albania;0,82;0,82;0,66;0,87;0,66;0,53;0,00;0,87;0,66;0,37
Bosnia and Herzegovina;0,53;0,68;0,40;0,51;0,46;0,21;0,27;0,00;0,25;0,21
Croatia;0,89;0,92;0,62;0,92;0,96;0,59;0,82;0,92;0,00;0,35
Slovenia;0,89;0,89;0,98;0,99;0,89;0,69;0,88;0,89;0,78;0,00
