;Serbia;Bulgaria;Macedonia;Romania;Greece;Montenegro;Albania;Bosnia and Herzegovina;Croatia;Slovenia
Serbia;0,000;0,187;0,125;0,148;0,068;0,110;0,133;0,241;0,055;0,110
Bulgaria;0,150;0,000;0,104;0,152;0,030;0,051;0,061;0,158;0,020;0,055
Macedonia;0,296;0,298;0,000;0,262;0,178;0,144;0,127;0,330;0,165;0,020
Romania;0,176;0,122;0,050;0,000;0,037;0,022;0,042;0,200;0,025;0,003
Greece;0,264;0,264;0,229;0,300;0,000;0,184;0,138;0,328;0,013;0,110
Montenegro;0,418;0,356;0,256;0,357;0,255;0,000;0,155;0,470;0,193;0,105
Albania;0,329;0,295;0,178;0,306;0,138;0,084;0,000;0,371;0,088;0,060
Bosnia and Herzegovina;0,080;0,077;0,055;0,145;0,050;0,080;0,058;0,000;0,040;0,055
Croatia;0,339;0,322;0,314;0,348;0,120;0,229;0,195;0,383;0,000;0,138
Slovenia;0,550;0,507;0,300;0,471;0,349;0,272;0,299;0,517;0,269;0,000
