;Serbia;Bulgaria;Macedonia;Romania;Greece;Montenegro;Albania;Bosnia and Herzegovina;Croatia;Slovenia
Serbia;0,00;0,54;0,41;0,58;0,50;0,08;0,13;0,68;0,33;0,13
Bulgaria;0,51;0,00;0,19;0,50;0,40;0,30;0,33;0,65;0,34;0,17
Macedonia;0,61;0,44;0,00;0,58;0,38;0,25;0,37;0,60;0,24;0,36
Romania;0,58;0,50;0,49;0,00;0,55;0,25;0,29;0,59;0,41;0,21
Greece;0,68;0,65;0,41;0,63;0,00;0,33;0,49;0,74;0,61;0,14
Montenegro;0,47;0,51;0,48;0,56;0,38;0,00;0,58;0,45;0,42;0,51
Albania;0,57;0,53;0,48;0,56;0,52;0,45;0,00;0,52;0,57;0,31
Bosnia and Herzegovina;0,53;0,60;0,34;0,37;0,41;0,13;0,21;0,00;0,21;0,15
Croatia;0,71;0,68;0,31;0,68;0,84;0,36;0,62;0,69;0,00;0,21
Slovenia;0,46;0,46;0,68;0,67;0,54;0,42;0,58;0,54;0,51;0,00
