;Serbia;Bulgaria;Macedonia;Romania;Greece;Montenegro;Albania;Bosnia and Herzegovina;Croatia;Slovenia
Serbia;0,00;0,19;0,12;0,15;0,07;0,11;0,13;0,24;0,06;0,11
Bulgaria;0,15;0,00;0,10;0,15;0,03;0,05;0,06;0,16;0,02;0,06
Macedonia;0,30;0,30;0,00;0,26;0,18;0,14;0,13;0,33;0,17;0,02
Romania;0,18;0,12;0,05;0,00;0,04;0,02;0,04;0,20;0,03;0,00
Greece;0,26;0,26;0,23;0,30;0,00;0,18;0,14;0,33;0,01;0,11
Montenegro;0,42;0,36;0,26;0,36;0,26;0,00;0,16;0,47;0,19;0,10
Albania;0,33;0,30;0,18;0,31;0,14;0,08;0,00;0,37;0,09;0,06
Bosnia and Herzegovina;0,08;0,08;0,06;0,15;0,05;0,08;0,06;0,00;0,04;0,06
Croatia;0,34;0,32;0,31;0,35;0,12;0,23;0,20;0,38;0,00;0,14
Slovenia;0,55;0,51;0,30;0,47;0,35;0,27;0,30;0,52;0,27;0,00
